Dutch,English,Lesson
in verwachting,expecting (a baby),Lesson 32
zwanger,pregnant,Lesson 32
zoeken,to search,Lesson 32
zullen,will,Lesson 32
bijten,to bite,Lesson 32
noemen,to call,Lesson 32
het gereedschap,the tools,Lesson 33
het instrument,"the tool, the (musical) instrument",Lesson 33
de schaar,the scissors,Lesson 33
knippen,to cut (with scissors),Lesson 33
snijden,to cut (with a knife),Lesson 33
de machine,the machine,Lesson 33
de rekenmachine,the calculator,Lesson 33
de computer,the computer,Lesson 33
het slot,the lock,Lesson 33
de sleutel,the key,Lesson 33
openen,to open,Lesson 33
de telefoon,the telephone,Lesson 33
het potlood,the pencil,Lesson 33
de pen,the pen,Lesson 33
het papier,the paper,Lesson 33
de olie,the oil,Lesson 33
de benzine,the petrol,Lesson 33
de brandstof,the fuel,Lesson 33
het goud,the gold,Lesson 33
het zilver,the silver,Lesson 33
het hout,the wood,Lesson 33
de plank,the plank,Lesson 33
de lucht,the air,Lesson 33
het ijzer,the iron,Lesson 33
het staal,the steel,Lesson 33
de steen,the stone,Lesson 33
het stof,the dust,Lesson 33
de stof,the material,Lesson 33
de aarde,the earth,Lesson 33
niets,nothing,Lesson 34
alles,everything,Lesson 34
een beetje,a bit,Lesson 34
natuurlijk,of course,Lesson 34
reeds,already,Lesson 34
al,already,Lesson 34
net,just,Lesson 34
pas,only,Lesson 34
nog,still,Lesson 34
erg,very,Lesson 34
even,just (as),Lesson 34
alleen,alone,Lesson 34
altijd,always,Lesson 34
door,through,Lesson 34
dus,so,Lesson 34
genoeg,enough,Lesson 34
bijna,almost,Lesson 34
bijvoorbeeld,for example,Lesson 34
normaal,usually,Lesson 34
nooit,never,Lesson 34
ooit,ever,Lesson 34
nu,now,Lesson 34
soms,sometimes,Lesson 34
ook,"also, too",Lesson 34
meer,more,Lesson 34
minder,less,Lesson 34
verder,further,Lesson 34
terug,back,Lesson 34
de kleur,the colour,Lesson 35
rood,red,Lesson 35
het vierkant,the square,Lesson 35
de cirkel,the circle,Lesson 35
de driehoek,the triangle,Lesson 35
groen,green,Lesson 35
volgende,next,Lesson 35
blauw,blue,Lesson 35
geel,yellow,Lesson 35
paars,purple,Lesson 35
wit,white,Lesson 35
zwart,black,Lesson 35
grijs,grey,Lesson 35
bruin,brown,Lesson 35
roze,pink,Lesson 35
plat,flat,Lesson 35
dik,"thick, fat",Lesson 35
dun,thin,Lesson 35
breed,wide,Lesson 35
smal,narrow,Lesson 35
beide,both,Lesson 35
het gezicht,the face,Lesson 35
elk,each,Lesson 35
gelijk,equal,Lesson 35
zelfde,same,Lesson 35
recht,straight,Lesson 35
makkelijk,easy,Lesson 35
moeilijk,difficult,Lesson 35
het feest,the party,Lesson 36
vieren,to celebrate,Lesson 36
de feestdag,the public holiday,Lesson 36
de vrije dag,the day off,Lesson 36
Koningsdag,King's Day,Lesson 36
Sinterklaas,(Sinterklaas),Lesson 36
Zwarte Piet,(Black Pete),Lesson 36
de zak,the bag,Lesson 36
Kerstmis,Christmas,Lesson 36
de kerstboom,the Christmas tree,Lesson 36
de kerstman,Santa Claus,Lesson 36
Oudjaar,New year's eve,Lesson 36
de oliebol,Dutch fritter with raisins,Lesson 36
Nieuwjaar,New year,Lesson 36
Oud en Nieuw,New year's eve and New year's day,Lesson 36
Pasen,Easter,Lesson 36
de paashaas,the Easter bunny,Lesson 36
het paasei,the Easter egg,Lesson 36
ijsvrij,a day off for skating,Lesson 36
uitnodigen,to invite,Lesson 36
het bezoek,the visit,Lesson 36
het bezoek,the visitors,Lesson 36
ontvangen,to receive,Lesson 36
de geboorte,the birth,Lesson 36
de bruiloft,the wedding,Lesson 36
de verjaardag,the birthday,Lesson 36
de taart,the pie,Lesson 36
de kaars,the candle,Lesson 36
verrassen,to surprise,Lesson 36
het cadeau,the present,Lesson 36
het beest,"the animal, the beast",Lesson 37
de schildpad,the turtle,Lesson 37
de hamster,the hamster,Lesson 37
de goudvis,the goldfish,Lesson 37
het schaap,the sheep,Lesson 37
de geit,the goat,Lesson 37
de vos,the fox,Lesson 37
wild,wild,Lesson 37
de mier,the ant,Lesson 37
de mug,the mosquito,Lesson 37
de kikker,the frog,Lesson 37
de slak,the snail,Lesson 37
de eekhoorn,the squirrel,Lesson 37
de dolfijn,the dolphin,Lesson 37
de zeehond,the seal,Lesson 37
de walvis,the whale,Lesson 37
de haai,the shark,Lesson 37
de dierentuin,the zoo,Lesson 37
de aap,the monkey,Lesson 37
de olifant,the elephant,Lesson 37
de beer,the bear,Lesson 37
de wolf,the wolf,Lesson 37
de giraffe,the giraffe,Lesson 37
de slang,the snake,Lesson 37
de krokodil,the crocodile,Lesson 37
de kameel,the camel,Lesson 37
de tijger,the tiger,Lesson 37
de leeuw,the lion,Lesson 37
nat,wet,Lesson 38
droog,dry,Lesson 38
algemeen,general,Lesson 38
bijzonder,special,Lesson 38
gebruikelijk,common,Lesson 38
dom,stupid,Lesson 38
slim,clever,Lesson 38
druk,busy,Lesson 38
druk,crowded,Lesson 38
glad,slippery,Lesson 38
beroemd,famous,Lesson 38
lui,lazy,Lesson 38
stil,quiet,Lesson 38
verschrikkelijk,terrible,Lesson 38
voorzichtig,careful,Lesson 38
sterk,strong,Lesson 38
zwak,weak,Lesson 38
eenzaam,lonely,Lesson 38
compleet,complete,Lesson 38
wakker,awake,Lesson 38
meest,most,Lesson 38
noord,north,Lesson 38
oost,east,Lesson 38
zuid,south,Lesson 38
west,west,Lesson 38
veilig,safe,Lesson 39
gevaarlijk,dangerous,Lesson 39
het leger,the army,Lesson 39
de oefening,the exercise,Lesson 39
de oorlog,the war,Lesson 39
de aanval,the attack,Lesson 39
het bloed,the blood,Lesson 39
dood,dead,Lesson 39
het nieuws,the news,Lesson 39
de krant,the newspaper,Lesson 39
de vlag,the flag,Lesson 39
toekomst,the future,Lesson 39
het einde,the end,Lesson 39
maan,the moon,Lesson 39
ster,the star,Lesson 39
de schaduw,the shadow / shade,Lesson 39
moeten,must / have to / should,Lesson 39
zetten,to put,Lesson 39
draaien,to turn,Lesson 39
kosten,to cost,Lesson 39
ruiken,to smell,Lesson 39
leiden,to lead,Lesson 39
dak,the roof,Lesson 39
heet,hot,Lesson 39
de markt,the market,Lesson 39
het geld,the money,Lesson 39
geluk,the happiness,Lesson 39
laatst,last,Lesson 40
welkom,welcome,Lesson 40
thuis,home,Lesson 40
het gras,the grass,Lesson 40
de boom,the tree,Lesson 40
eigen,own,Lesson 40
mijn,my,Lesson 40
jouw / je,your,Lesson 40
haar,her,Lesson 40
zijn,his,Lesson 40
ons / onze,our,Lesson 40
jullie / uw,your,Lesson 40
uw,your,Lesson 40
hun,their,Lesson 40
geen,no / none,Lesson 40
gewoon,usual,Lesson 40
als,if,Lesson 40
het verschil,the difference,Lesson 40
de leeftijd,the age,Lesson 40
iemand,somebody,Lesson 40
iedereen,everybody,Lesson 40
samen,together,Lesson 40
dichtbij,nearby,Lesson 40
vaak,often,Lesson 40
de grap,the joke,Lesson 40
het idee,the idea,Lesson 40
het geluid,the sound,Lesson 40
de muziek,the music,Lesson 40
het nummer,the number / the song,Lesson 40
de naam,the name,Lesson 40
het boek,the book,Lesson 40
de les,the lesson,Lesson 40
het woord,the word,Lesson 40
